year,average_speed_kmh,Comm_speed_Paris,AgriLand_inc,HousingLand_inc,SpendingShare_Rural,SpendingShare_Urban,SpendingShare_Housing,employment,theta_rural,theta_urban,Employment_rural,Land_rural,P_rural_Sauvy,P_rural_Toutain,P_rural,stheta_rural,stheta_urban
2220,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,194.98186715530744,117.23919820551451
2221,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,196.93168582715924,118.41159018764628
2222,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,198.90100268520155,119.59570608926343
2223,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,200.89001271162985,120.79166314987907
2224,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,202.89891283930186,121.9995797817845
2225,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,204.92790196771574,123.21957557947859
2226,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,206.9771809873234,124.4517713349905
2227,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,209.04695279689795,125.69628904848773
2228,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,211.13742232506837,126.95325193888422
2229,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,213.24879654838156,128.2227844585736
2230,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,215.38128451353197,129.5050123028588
2231,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,217.5350973588965,130.8000624258638
2232,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,219.71044833259663,132.10806305055266
2233,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,221.90755281542243,133.42914368110533
2234,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,224.1266283437573,134.76343511765117
2235,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,226.36789462763943,136.111069468645
2236,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,228.6315735736866,137.47218016383238
2237,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,230.91788930940956,138.84690196544716
2238,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,233.22706820266342,140.23537098471263
2239,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,235.55933888457196,141.6377246948073
2240,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,237.91493227314675,143.05410194147248
2241,15.862166,4.424685,0.1216393,1.188686,0.172066941857338,0.514035522937775,0.313897520303726,25856.0,23.560016081177174,14.59776770807356,0.031327351927757,0.526155710220337,0.3821143,0.3821143,0.37172184726028845,240.29408159621167,144.48464296128208
